log_entry,log_level
17/06/09 18:10:28 INFO executor.Executor: Finished task 3.0 in stage 4540.0 (TID 181640). 2364 bytes result sent to driver,INFO
"17/06/09 20:49:38 INFO python.PythonRunner: Times: total = 40, boot = 13, init = 27, finish = 0",INFO
17/02/02 01:17:25 INFO executor.Executor: Finished task 16.0 in stage 396.0 (TID 72793). 1562 bytes result sent to driver,INFO
"17/05/08 09:57:59 INFO MemoryStore: Block broadcast_6_piece234 stored as bytes in memory (estimated size 4.0 MB, free 3.7 GB)",INFO
17/06/09 13:38:04 INFO executor.Executor: Finished task 25.0 in stage 15101.0 (TID 604512). 2156 bytes result sent to driver,INFO
"17/06/08 15:49:11 INFO python.PythonRunner: Times: total = 40, boot = 13, init = 27, finish = 0",INFO
"17/02/02 03:08:30 INFO python.PythonRunner: Times: total = 21, boot = -264, init = 265, finish = 20",INFO
17/06/09 19:38:19 INFO executor.Executor: Finished task 27.0 in stage 1022.0 (TID 41507). 2364 bytes result sent to driver,INFO
17/06/09 10:00:46 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 73251,INFO
17/06/06 21:58:14 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1,INFO
